origin,zone_30,zone_32,zone_35,zone_37,zone_39,zone_46,zone_48,zone_50,zone_54,zone_61,zone_95,zone_98,zone_6,zone_16,zone_19,zone_84,zone_89,zone_101,zone_18,zone_41,zone_44,zone_49,zone_62,zone_77,zone_107,zone_8,zone_26,zone_99,zone_0,zone_3,zone_20,zone_29,zone_55,zone_68,zone_75,zone_94,zone_110,zone_7,zone_12,zone_33,zone_57,zone_74,zone_47,zone_51,zone_103,zone_9,zone_27,zone_36,zone_40,zone_91,zone_108,zone_28,zone_52,zone_60,zone_67,zone_69,zone_82,zone_105,zone_31,zone_65,zone_87,zone_93,zone_102,zone_104,zone_70,zone_88,zone_24,zone_85,zone_86,zone_96,zone_10,zone_17,zone_63,zone_81,zone_22,zone_23,zone_43,zone_92,zone_38,zone_1,zone_4,zone_76,zone_78,zone_79,zone_2,zone_90,zone_21,zone_58,zone_97,zone_56,zone_34,zone_80,zone_83,zone_100,zone_64,zone_5,zone_45,zone_71,zone_11,zone_13,zone_73,zone_15,zone_59,zone_109,zone_53,zone_14,zone_72,zone_66,zone_106,zone_25
zone_46,,,,,,,,,,1170.0,,,770.0,,,,,,,684.0,,,,1236.0,,,1364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297.0,,,,,1505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.0,,,,,1663.0,,,,,,,,,
zone_78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.0,,,,,,,,,,,,,,,,,,,,,,,,,708.0,1156.0,,,,,,,,,,,,,,,,1470.0,,,,,,,,,,,,,,1327.0,,,,,
zone_101,,,,,,,,,,,,,,1749.0,,,,,,,,1321.0,,,,,,,,,,,,,,,459.0,,,,,,,,,,426.0,,,,,,,,2092.0,,,316.0,,,,,511.0,,1676.0,,,,,,,,,,,,,,,,,1779.0,,,,,1302.0,,,,,,,,,,,,,,,,,,,,1772.0,2023.0,,
zone_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0,,,,,1230.0,,,,,,,,,,,,,
zone_108,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.0,,,,,,,,,,,,,,,,,,538.0,,,,,983.0,,,2192.0,,,,,,,,,,1295.0,,,,,,,,1675.0,,,,,,,,,,,,,,,,,813.0,,,,,,,,,,,,,,,,,,,
zone_98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,,1862.0,,,,,,,,,,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,1570.0,,,,,,,,,,,,,,,,,,,,,,,,1683.0,940.0,,,,,,,,,,,,,495.0,
zone_11,,,,,,,,,,,,,,658.0,,,,,,,,,,,,,,,,,598.0,,1086.0,,,1186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.0,1469.0,,,,,,
zone_90,,,,,,,,,,,,,,,,,141.0,,954.0,,,,1554.0,,,,,,,,1070.0,,,,,,,1262.0,,,,,,,,,,,,,,,,1758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646.0,,
zone_53,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.0,,,,526.0,,,,,,,,,,,,,,,,431.0,,,,,1267.0,,,1630.0,,,,,,,,,,,,,,1314.0,,,,,,,,1457.0,,,,,,,,,,,,,,,,,,,,,,,,781.0,,
zone_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.0,,1183.0,,,,,,,,,,,,,,,,,,,,,,686.0,,,,,295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,,,,,,,
zone_58,,,,,,,,,,,,,,,,1861.0,,,,755.0,,,,,,,,,,,,,,,,,,,,,501.0,,,,,,,,,,,1108.0,,,942.0,,1529.0,1553.0,,,,,1686.0,,,,,,,,,,,,1426.0,,,1688.0,,,,1272.0,,,,,,,,,,,,,,,,,,,,,,,378.0,,,,,1258.0
zone_37,,,,,,,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,,,1771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_8,,,,,,,,,750.0,,,,497.0,,,,,,,,,,,,,,,,,,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391.0,,,,,,,,,,,,719.0,,,,,,,389.0,,,,,1237.0,,,,,,,,,,,,,,,,,
zone_30,,,278.0,,,,,,,,,,,,,,,,,,,,1563.0,,,,,,,,,,,,1719.0,,,,,,,,,,,,,,,,552.0,,,,,,,392.0,,,,,,,,,,,1250.0,,,,,,,,,,,,,,,,,,,,,1320.0,,,,,,,,,,,,,1334.0,,,,,,262.0,
zone_81,,,1331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.0,,,,,,,,,,,,,,,,,,,,,,,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,,,728.0,,1517.0,,,,,,,,,,896.0,,,,,,,,,
zone_47,,,,839.0,,,,,,1261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,1127.0,,,,,,,,,,,,,,,,,,,1234.0,,,,,,,,,,,,,284.0,1898.0,842.0,,,1606.0,,,,,,,,,,,,,,,,,,,,1145.0,,,,,,,,
zone_2,,863.0,,,,1118.0,,,,,,,,,,,,,,,,,,,,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919.0,,,,,,,,,,,1231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zone_34,,,,,,,,,,,,,,,,,,,,,890.0,,1594.0,,,,,,,989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.0,,1311.0,,,1128.0,,,,,,,
zone_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,,,,,,,,,,,,,,,,,,,,,,,1216.0,,447.0,,,,,,,,,,,,1041.0,,
zone_73,,,,,,,,,1163.0,,1188.0,,,,,,,,,,1477.0,,,,,,,,,,,,,,,,,,850.0,,,,,,,,,,,,,,,,,880.0,,,,,,834.0,,,,,,,,,903.0,,,,,,,,,796.0,,,,,,,459.0,,,,,,,,,,1648.0,,,,,,,,,,,,,
zone_70,,,,,1327.0,,,,997.0,,,,,,,,,,,,,,,,,,,,,,,,1199.0,,,,1450.0,,,1244.0,,,,,,,,,,,,,,,889.0,,,,,,,,,,,,,,,,,,,,936.0,,,,,,,,,,,,,,,819.0,1064.0,,,,,880.0,,,,,,,,,,,,,,
zone_38,,,,,,1060.0,1182.0,,,,,,,1869.0,,,,,,,,,,,,,,,1396.0,,,909.0,,,,,,,,672.0,,,,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.0,,,,,,1091.0,,2234.0,,,,,,,,,,,,,,,,,,,,1265.0,620.0,,,,,,
